Pin_Name,Avg_Capacitance_pF,Median_Capacitance_pF,Min_pF,Max_pF,Std_Dev_pF,
CON_02,10.86,10.87,9.68,12.26,0.85,39.97
CON_03,9.84,9.36,8.62,11.12,1.02,39.15
CON_04,10.03,9.62,8.07,13.35,1.58,39.4
CON_05,7.26,6.85,5.01,10.01,1.56,34.64
CON_06,9.53,8.92,8.2,13.35,1.75,33.06
CON_07,6.1,7.23,1.11,7.86,2.42,31.01
CON_08,7.98,7.35,6.4,11.69,1.74,30.59
CON_09,8.14,7.51,6.96,11.12,1.43,31.44
CON_10,9.51,10.15,6.68,10.5,1.37,38.25
CON_11,10.23,10.08,9.03,12.79,1.21,33.93
CON_12,8.48,8.71,6.12,9.46,1.09,30.08
CON_13,8,7.69,6.68,10.29,1.18,30.31
CON_14,8.75,8.59,7.23,10.01,0.9,32.55
CON_15,8.31,8.19,6.39,10.57,1.25,33.05
CON_16,8.01,7.51,5.7,12.24,2.04,37.73
CON_17,9.73,10.3,6.12,10.57,1.62,41.92
EPD_D0,10.27,9.22,9.02,13.35,1.59,49.63
EPD_D1,6.89,7.1,5.56,8.07,0.77,37.35
EPD_D2,7.24,8.42,3.34,8.9,2.23,50.13
EPD_D3,9.64,9.17,8.83,11.96,1.17,39.7
EPD_D4,8.06,7.95,6.39,10.85,1.41,50.8
EPD_D5,7.45,7.44,5.28,8.9,1.1,36.7
EPD_D6,8.46,8.21,7.51,10.43,0.98,50.8
EPD_D7,7.82,7.19,6.39,11.69,1.81,39.24
EPD_XCL,9.29,9.3,7.51,11.12,1.07,50.3
EPD_LEH,9.11,8.87,7.23,12.79,1.72,49.7
EPD_MODE,7.77,7.47,7.04,8.62,0.62,49.6
EPD_CKV,6.52,7.23,3.34,7.55,1.51,49.07
EPD_XSTL,6.31,6.29,4.73,7.23,0.79,46.6
EPD_OE,6.69,7.11,2.78,10.01,2.12,50
EPD_STV,7.33,6.38,5.56,12.24,2.29,49.07
