Pin_Name,Avg_Capacitance_pF,Median_Capacitance_pF,Min_pF,Max_pF,Std_Dev_pF,V1.0 length,V1.0 via?,V2.0 length,V2.0 via?
CON_02,10.86,10.87,9.68,12.26,0.85,39.97,yes,35,no
CON_03,9.84,9.36,8.62,11.12,1.02,39.15,yes,33.01,no
CON_04,10.03,9.62,8.07,13.35,1.58,39.4,yes,31.94,no
CON_05,7.26,6.85,5.01,10.01,1.56,34.64,yes,32.74,no
CON_06,9.53,8.92,8.2,13.35,1.75,33.06,no ,28.91,no
CON_07,6.1,7.23,1.11,7.86,2.42,31.01,no ,27.93,no
CON_08,7.98,7.35,6.4,11.69,1.74,30.59,no ,28.55,no
CON_09,8.14,7.51,6.96,11.12,1.43,31.44,no ,29.35,no
CON_10,9.51,10.15,6.68,10.5,1.37,38.25,yes,26.18,no
CON_11,10.23,10.08,9.03,12.79,1.21,33.93,yes,25.18,no
CON_12,8.48,8.71,6.12,9.46,1.09,30.08,yes,25.15,no
CON_13,8,7.69,6.68,10.29,1.18,30.31,yes,26.71,no
CON_14,8.75,8.59,7.23,10.01,0.9,32.55,yes,33.79,yes
CON_15,8.31,8.19,6.39,10.57,1.25,33.05,yes,31.15,yes
CON_16,8.01,7.51,5.7,12.24,2.04,37.73,yes,35.27,yes
CON_17,9.73,10.3,6.12,10.57,1.62,41.92,yes,37.82,yes
EPD_D0,10.27,9.22,9.02,13.35,1.59,49.63,yes,45.87,yes
EPD_D1,6.89,7.1,5.56,8.07,0.77,37.35,yes,30.26,yes
EPD_D2,7.24,8.42,3.34,8.9,2.23,50.13,yes,46.52,yes
EPD_D3,9.64,9.17,8.83,11.96,1.17,39.7,yes,30.3,yes
EPD_D4,8.06,7.95,6.39,10.85,1.41,50.8,yes,48.43,yes
EPD_D5,7.45,7.44,5.28,8.9,1.1,36.7,yes,30.11,yes
EPD_D6,8.46,8.21,7.51,10.43,0.98,50.8,yes,49.22,yes
EPD_D7,7.82,7.19,6.39,11.69,1.81,39.24,yes,30.18,yes
EPD_XCL,9.29,9.3,7.51,11.12,1.07,50.3,yes,30.45,yes
EPD_LEH,9.11,8.87,7.23,12.79,1.72,49.7,yes,35.03,yes
EPD_MODE,7.77,7.47,7.04,8.62,0.62,49.6,yes,47.43,yes
EPD_CKV,6.52,7.23,3.34,7.55,1.51,49.07,yes,31.94,yes
EPD_XSTL,6.31,6.29,4.73,7.23,0.79,46.6,yes,30.63,yes
EPD_OE,6.69,7.11,2.78,10.01,2.12,50,yes,30.39,yes
EPD_STV,7.33,6.38,5.56,12.24,2.29,49.07,yes,47.59,yes
